simulation 0,87
simulation 1,57
simulation 0,44
simulation 2,51
simulation 0,139
simulation 0,86
simulation 0,114
simulation 1,134
simulation 0,100
simulation 0,59
simulation 1,104
simulation 1,101
simulation 1,80
simulation 1,31
simulation 2,71
simulation 2,94
simulation 0,68
simulation 0,57
simulation 0,78
simulation 2,45
simulation 2,66
simulation 0,127
simulation 2,87
simulation 2,57
simulation 1,158
simulation 1,117
simulation 2,135
simulation 0,81
simulation 2,56
simulation 1,88
simulation 1,78
simulation 2,43
simulation 2,31
simulation 1,141
simulation 1,92
simulation 0,121
simulation 0,54
simulation 0,82
simulation 1,72
simulation 1,60
simulation 0,143
simulation 2,69
simulation 2,171
simulation 0,89
simulation 0,84
simulation 0,77
simulation 1,93
simulation 2,76
simulation 0,110
simulation 1,46
simulation 0,107
simulation 1,142
simulation 0,88
simulation 2,98
simulation 2,46
simulation 1,91
simulation 2,46
simulation 2,47
simulation 2,123
simulation 0,87
simulation 1,141
simulation 1,47
simulation 1,61
simulation 2,93
simulation 2,79
simulation 2,66
simulation 2,56
simulation 1,65
simulation 0,83
simulation 0,59
simulation 0,131
simulation 2,104
simulation 0,59
simulation 2,138
simulation 0,104
simulation 2,99
simulation 2,40
simulation 1,79
simulation 1,74
simulation 0,123
simulation 2,91
simulation 0,45
simulation 1,66
simulation 2,118
simulation 0,154
simulation 2,50
simulation 0,178
simulation 1,66
simulation 2,85
simulation 2,67
simulation 2,158
simulation 1,112
simulation 0,144
simulation 0,33
simulation 2,52
simulation 1,38
simulation 0,75
simulation 2,172
simulation 1,98
simulation 0,99
simulation 2,135
simulation 1,109
simulation 1,45
simulation 0,62
simulation 2,150
simulation 0,130
simulation 2,52
simulation 0,128
simulation 0,85
simulation 1,115
simulation 2,60
simulation 0,112
simulation 2,143
simulation 1,64
simulation 0,109
simulation 1,96
simulation 0,94
simulation 0,128
simulation 0,109
simulation 1,65
simulation 1,74
simulation 0,134
simulation 2,196
simulation 1,91
simulation 2,97
simulation 2,179
simulation 1,86
simulation 1,76
simulation 0,37
simulation 0,74
simulation 1,36
simulation 1,148
simulation 1,114
simulation 2,209
simulation 1,146
simulation 0,137
simulation 0,72
simulation 0,124
simulation 0,95
simulation 1,52
simulation 0,24
simulation 1,126
simulation 0,91
simulation 1,186
simulation 2,50
simulation 0,84
simulation 0,163
simulation 2,120
simulation 1,128
simulation 0,79
simulation 1,118
simulation 0,91
